The Derek Trucks Band;Darren Hayes;The Fontane Sisters,blues;Southern Rock;allboutguitar;double-ender 9;hmm yeah;Man music;Soul Stax;Derek Trucks;gotcha;jamband;Jam;amazing;blues rock;rnb;gospel;soul;guitar,Soul Serenade/Rasta Man Chant,TRKKKQF128F425C106
Darren Hayes,pop;australian;male vocalists;mellow alternative;Mellow;songs I absolutely love;DAZS FAVOURITES;love song mix;clear love song lyrics;mello mix;soft ecclectic mix;ecclectic mellow mix;love songs with clear lyrics;alternative love song mix;crazyshitradio;mellonchollic romantic songs;melloncholly and romantic;weicheisongs;melloncholic mood;6th Avenue;fall 2006;private stashshsh;Coooooooooooooooooooool;lts;Astor Place;AV Closet;coolelyrics;music gems;electronic;electronica;sad;Favourite Songs;romantic;lonely;Dreamy;drunk;www;emotion;00's;random favorite songs;darren hayes;sense of humor;rock;rap;alternative;the tension and the spark;Hip-Hop;emo;new gay music;Tyler Adam;Nelson Clemente;the best eclectic tag ever - period - dec-05 top-30s;homosexual;electric;savage garden;elton john;scissor sisters,Sense Of Humor,TRKKKTM128F4282970
Big Mama Thornton,blues;female vocalists;double-ender 4;double-ender 11;soul;cool;drive;roots of rock;my zany zoo;fuck elvis;the REAL rhythm and blues root of rock n roll;Big Mama Thorton;rockitxten;rhythm and blues;Texas Blues;Leiber and Stoller,I Smell A Rat,TRKKKNE128F9310000
DJ Shog,,Jelousy,TRKKKAT128F92DCCA6
The Fontane Sisters,,The Howdy Doody Christmas,TRKKKHY128F42A7DE0
Barbara Dickson,female vocalists;Barbara Dickson,Hold On,TRKKKQZ128F92C1DAE
Plain White T's,indie;acoustic;rock;easy listening;emo;Love;comforting;favorites;give me chills;Slow Down;Plain White T's;realization;so sad;freshman year;s2;deep thoughts;radios in heaven;aiiight;piniwis;sing along with me;Plain White Ts - Radios in Heaven;aiights;natillita;me cago en las putas canciones tristes;Mellow;punk;Sleep;indie rock;sad;pop rock;depressing;death;My Favorites;nighttime;pop punk;poetic;alternative;pop;chill;plain white ts;YuM,Radios in Heaven,TRKKKLM128F4292258
Prinz Pi,,Heimlicher Abgang feat. E-Rich,TRKKKMT128F931F7EC
Los Player's,,Aunque Muera De Dolor,TRKKKLK128EF366A4C
Priessnitz,Love;Ballad;love song;rock ballad;alternative rock;melancholic;jeseniky,Sluníčko,TRKKKUZ128F424C706
Don Grusin,jazz,Kickin' Back,TRKKKOZ128F93081C3
Speech Defect,,I Wanna Do My Thing,TRKKKII12903CA32C0
The Chicharones,2005;do pozniejszego sprawdzenia;FiQ,Surf Rock,TRKKKBT128F930A988
The Imperials,,Beautiful Isle of Somewhere,TRKKKVP12903CBA4C8
The Freaks Union,,Almost Romantic,TRKKKAU128F92F3316
3-2 Get Funky,Reggaeton;cubanisimo,Bailen,TRKKKAJ128F1479408
Sister Vanilla,female vocal;alternative rock;rude words;the word go;the word what;the word around;tantotempotaste,What Goes Around,TRKKKRT128EF340DD9
k-os,Canadian;Hip-Hop;Good Hip Hop;shit is official;hip hop;summer;Canadian Hip-Hop;catchy as shit;uber;hiphop classics;music that fucking rocks;best ever;This is my theme song;possibly the hottest song ever;True Hip-Hop;music about music;clever sample usage;ooh my;howcouldunotlikeit;pow pow;sick beat;best beats ever;top quality;if only everyone knew;whadafac;love to death;rap favorites;just to remember;serious shit;my life soundtrack;Hell ya;favourite covers;grossartig;fucking fantastic;buyit;daaam;well produced;geiler shice;hey look its hip hop where people are actually trying;Underground Party;Ill Beat;sickk tune;heisse scheibe;ill track;that other shit;positive;Timeless HipHop;da real underground new skool hip hop;TRUE musical HIP HOP;woofer hissin;rrrrapp;rock rock to the planet rock;hip hop feinkost;underated;Bimmelmucke;scheisse FETT;Holy Crap Machine Gun Acid Flamethrowers with a Complimentary Flower Holder;fettttttttttttttt;Bomb;banger;headphone classic;Sunny weather;youthful;just plain brilliant;supah cool;awesome song title;i sing along to this;the shit I love;Guter Hip Hop;if you dont like this song then we just cant be friends;the strombo show;we are hip hop;phantom planet sample;intriguing name;Dope;best songs ever;legend;Favorite songs ever;good times;I Like It;Masterpiece;laidback;good shit;real hip hop;FUCKING AWESOME;perfect;good music;crazy;sick;happiness;California;genius;independent;feel good;amazing;Favorite;Favourites;favorites;Awesome;rap,I Wish I Knew Natalie Portman,TRKKKLT12903CF299C
Mr. Review,ska;ska punk;CurrentFavs;life OST,The Girl Is Money,TRKKKON128F14A3504
Hazel O'Connor,,Just Like a Woman - Live,TRKKKSE128F9344136
Bill Streett,,Concrescence,TRKKKER128EF3591C0
God Module,trance;industrial;progressive trance;ambient trance;dark electro;god module;electronic;techno;remember this;minemine;critty;Torquemada,Evolve,TRKKKGO128F9329C41
Patton Oswalt,comedy;standup comedy;good shit;humour;patton;pure haha;cleanthemuthafckinhouse;cleaninghouse,The World's Most Amazing Father,TRKKKUY128F4248290
Bill Anderson,country;classic country;good song;jo;gittis;thanksgiving;besta;Besto;bestallof;seebest,Po' Folks,TRKKKNL128F92E3791
Kermit Ruffins,,Chicken and Dumplings,TRKKKMK128F93365AD
