Sl.No,Process Name,Thread No,Item,Time (in Microseconds)
1,Chef,1,Maach,229
2,Chef,1,Dal,530
3,Chef,3,Bhaat,627
4,Chef,3,Maach,795
5,Chef,2,Dal,886
6,Chef,2,Bhaat,991
7,Waiter,100,Maach,242
8,Waiter,100,Dal,315
9,Waiter,100,dalSem,396
10,Waiter,100,Bhaat,459
11,Waiter,100,Bhaat,562
12,Waiter,100,Maach,633
13,Chef,1,Maach,820
14,Chef,1,Dal,986
15,Chef,3,Bhaat,1044
16,Chef,3,Maach,1098
17,Chef,2,Dal,1190
18,Chef,2,Bhaat,1222
19,Waiter,100,Maach,756
20,Waiter,100,Dal,801
21,Waiter,100,Bhaat,801
22,Waiter,100,dalSem,983
23,Waiter,100,Bhaat,983
24,Waiter,100,Maach,983
25,Chef,1,Maach,1205
26,Chef,1,Dal,1493
27,Chef,3,Bhaat,1618
28,Chef,3,Maach,1725
29,Chef,2,Dal,1819
30,Chef,2,Bhaat,1888
31,Waiter,100,Dal,1270
32,Waiter,100,Maach,1270
33,Waiter,100,Bhaat,1343
35,Waiter,100,Bhaat,1599
34,Waiter,100,dalSem,1599
36,Waiter,100,Maach,1599
37,Chef,1,Maach,1785
38,Chef,1,Dal,2098
39,Chef,2,Dal,2232
40,Chef,2,Bhaat,2344
41,Chef,3,Bhaat,2440
42,Chef,3,Maach,2496
44,Waiter,100,Maach,1933
43,Waiter,100,Dal,1933
45,Waiter,100,Bhaat,1987
46,Waiter,100,dalSem,2258
47,Waiter,100,Bhaat,2258
48,Waiter,100,Maach,2258
49,Chef,1,Maach,2430
50,Chef,1,Dal,2653
51,Chef,2,Dal,2841
52,Chef,2,Bhaat,2921
53,Chef,3,Bhaat,3028
54,Chef,3,Maach,3144
55,Waiter,100,Dal,2645
56,Waiter,100,Bhaat,2645
57,Waiter,100,Maach,2730
58,Waiter,100,Maach,3056
59,Waiter,100,Bhaat,3056
60,Waiter,100,dalSem,3056
61,Chef,1,Maach,2916
62,Chef,1,Dal,3077
63,Chef,2,Dal,3142
64,Chef,2,Bhaat,3177
65,Chef,3,Bhaat,3281
66,Chef,3,Maach,3348
68,Waiter,100,Maach,3485
67,Waiter,100,Dal,3485
69,Waiter,100,Bhaat,3576
70,Waiter,100,Maach,3781
72,Waiter,100,dalSem,3839
71,Waiter,100,Bhaat,3839
73,Chef,1,Maach,3292
74,Chef,1,Dal,3462
75,Chef,2,Dal,3543
76,Chef,2,Bhaat,3580
77,Chef,3,Bhaat,3648
78,Chef,3,Maach,3720
79,Waiter,100,Bhaat,4160
80,Waiter,100,Dal,4204
81,Waiter,100,Maach,4204
82,Waiter,100,Maach,4402
84,Waiter,100,dalSem,4402
83,Waiter,100,Bhaat,4402
85,Chef,1,Maach,3695
86,Chef,1,Dal,3896
87,Chef,2,Dal,4017
88,Chef,2,Bhaat,4143
89,Chef,3,Bhaat,4206
90,Chef,3,Maach,4323
91,Waiter,100,Bhaat,4747
92,Waiter,100,Dal,4779
93,Waiter,100,Maach,4779
94,Waiter,100,Maach,4943
95,Waiter,100,Bhaat,4943
96,Waiter,100,dalSem,4943
97,Chef,1,Maach,4139
98,Chef,1,Dal,4483
99,Chef,2,Dal,4658
100,Chef,2,Bhaat,4823
101,Chef,3,Bhaat,4966
102,Chef,3,Maach,5109
104,Waiter,100,Dal,5317
103,Waiter,100,Maach,5317
105,Waiter,100,Bhaat,5406
106,Waiter,100,Bhaat,5650
107,Waiter,100,Maach,5650
108,Waiter,100,dalSem,5760
109,Chef,1,Maach,4816
110,Chef,1,Dal,5065
111,Chef,2,Dal,5245
112,Chef,2,Bhaat,5392
113,Chef,3,Bhaat,5478
114,Chef,3,Maach,5618
116,Waiter,100,Maach,6047
115,Waiter,100,Dal,6047
117,Waiter,100,Bhaat,6047
118,Waiter,100,dalSem,6324
119,Waiter,100,Bhaat,6324
120,Waiter,100,Maach,6324
5,Waiter,100,Bhaat,381
8,Waiter,100,Dal,609
9,Waiter,100,Maach,609
